Year,Geography,Industry,Wage rates,Value
2015,"Total, Ontario regions",Wood Product Manufacturing,Average weekly wage rate,881.47
2001,"Total, Ontario regions",Wood Product Manufacturing,Median hourly wage rate,14.42
2002,"Total, Ontario regions",Wood Product Manufacturing,Median hourly wage rate,15.00
2003,"Total, Ontario regions",Wood Product Manufacturing,Median hourly wage rate,15.00
2004,"Total, Ontario regions",Wood Product Manufacturing,Median hourly wage rate,15.50
2005,"Total, Ontario regions",Wood Product Manufacturing,Median hourly wage rate,18.00
2006,"Total, Ontario regions",Wood Product Manufacturing,Median hourly wage rate,16.01
2007,"Total, Ontario regions",Wood Product Manufacturing,Median hourly wage rate,17.50
2008,"Total, Ontario regions",Wood Product Manufacturing,Median hourly wage rate,17.00
2009,"Total, Ontario regions",Wood Product Manufacturing,Median hourly wage rate,17.20
2010,"Total, Ontario regions",Wood Product Manufacturing,Median hourly wage rate,19.00
2011,"Total, Ontario regions",Wood Product Manufacturing,Median hourly wage rate,18.69
2012,"Total, Ontario regions",Wood Product Manufacturing,Median hourly wage rate,17.73
2013,"Total, Ontario regions",Wood Product Manufacturing,Median hourly wage rate,18.00
2014,"Total, Ontario regions",Wood Product Manufacturing,Median hourly wage rate,18.00
2015,"Total, Ontario regions",Wood Product Manufacturing,Median hourly wage rate,20.00
2001,"Total, Ontario regions",Wood Product Manufacturing,Median weekly wage rate,572.00
2002,"Total, Ontario regions",Wood Product Manufacturing,Median weekly wage rate,603.68
2003,"Total, Ontario regions",Wood Product Manufacturing,Median weekly wage rate,638.00
2004,"Total, Ontario regions",Wood Product Manufacturing,Median weekly wage rate,646.88
2005,"Total, Ontario regions",Wood Product Manufacturing,Median weekly wage rate,720.00
2006,"Total, Ontario regions",Wood Product Manufacturing,Median weekly wage rate,659.20
2007,"Total, Ontario regions",Wood Product Manufacturing,Median weekly wage rate,720.00
2008,"Total, Ontario regions",Wood Product Manufacturing,Median weekly wage rate,692.10
2009,"Total, Ontario regions",Wood Product Manufacturing,Median weekly wage rate,675.00
2010,"Total, Ontario regions",Wood Product Manufacturing,Median weekly wage rate,796.25
2011,"Total, Ontario regions",Wood Product Manufacturing,Median weekly wage rate,800.00
2012,"Total, Ontario regions",Wood Product Manufacturing,Median weekly wage rate,698.40
2013,"Total, Ontario regions",Wood Product Manufacturing,Median weekly wage rate,720.00
2014,"Total, Ontario regions",Wood Product Manufacturing,Median weekly wage rate,720.00
2015,"Total, Ontario regions",Wood Product Manufacturing,Median weekly wage rate,832.30
2001,"Total, Ontario regions",Paper Manufacturing,Total employees,39.5
2002,"Total, Ontario regions",Paper Manufacturing,Total employees,39.0
2003,"Total, Ontario regions",Paper Manufacturing,Total employees,41.4
2004,"Total, Ontario regions",Paper Manufacturing,Total employees,38.4
2005,"Total, Ontario regions",Paper Manufacturing,Total employees,34.3
2006,"Total, Ontario regions",Paper Manufacturing,Total employees,30.2
2007,"Total, Ontario regions",Paper Manufacturing,Total employees,27.6
2008,"Total, Ontario regions",Paper Manufacturing,Total employees,30.0
2009,"Total, Ontario regions",Paper Manufacturing,Total employees,24.1
2010,"Total, Ontario regions",Paper Manufacturing,Total employees,25.8
2011,"Total, Ontario regions",Paper Manufacturing,Total employees,23.8
2012,"Total, Ontario regions",Paper Manufacturing,Total employees,21.7
2013,"Total, Ontario regions",Paper Manufacturing,Total employees,18.7
2014,"Total, Ontario regions",Paper Manufacturing,Total employees,21.9
2015,"Total, Ontario regions",Paper Manufacturing,Total employees,21.5
2001,"Total, Ontario regions",Paper Manufacturing,Average hourly wage rate,21.26
2002,"Total, Ontario regions",Paper Manufacturing,Average hourly wage rate,21.41
2003,"Total, Ontario regions",Paper Manufacturing,Average hourly wage rate,22.09
2004,"Total, Ontario regions",Paper Manufacturing,Average hourly wage rate,22.23
2005,"Total, Ontario regions",Paper Manufacturing,Average hourly wage rate,22.07
2006,"Total, Ontario regions",Paper Manufacturing,Average hourly wage rate,24.08
2007,"Total, Ontario regions",Paper Manufacturing,Average hourly wage rate,26.56
2008,"Total, Ontario regions",Paper Manufacturing,Average hourly wage rate,25.89
2009,"Total, Ontario regions",Paper Manufacturing,Average hourly wage rate,23.69
2010,"Total, Ontario regions",Paper Manufacturing,Average hourly wage rate,25.14
2011,"Total, Ontario regions",Paper Manufacturing,Average hourly wage rate,23.52
2012,"Total, Ontario regions",Paper Manufacturing,Average hourly wage rate,25.60
2013,"Total, Ontario regions",Paper Manufacturing,Average hourly wage rate,26.88
2014,"Total, Ontario regions",Paper Manufacturing,Average hourly wage rate,25.83
2015,"Total, Ontario regions",Paper Manufacturing,Average hourly wage rate,25.89
2001,"Total, Ontario regions",Paper Manufacturing,Average weekly wage rate,864.26
2002,"Total, Ontario regions",Paper Manufacturing,Average weekly wage rate,871.58
2003,"Total, Ontario regions",Paper Manufacturing,Average weekly wage rate,890.87
2004,"Total, Ontario regions",Paper Manufacturing,Average weekly wage rate,903.20
2005,"Total, Ontario regions",Paper Manufacturing,Average weekly wage rate,896.61
2006,"Total, Ontario regions",Paper Manufacturing,Average weekly wage rate,976.65
2007,"Total, Ontario regions",Paper Manufacturing,Average weekly wage rate,1066.79
2008,"Total, Ontario regions",Paper Manufacturing,Average weekly wage rate,1042.22
2009,"Total, Ontario regions",Paper Manufacturing,Average weekly wage rate,953.94
2010,"Total, Ontario regions",Paper Manufacturing,Average weekly wage rate,1002.27
2011,"Total, Ontario regions",Paper Manufacturing,Average weekly wage rate,955.65
2012,"Total, Ontario regions",Paper Manufacturing,Average weekly wage rate,1026.18
2013,"Total, Ontario regions",Paper Manufacturing,Average weekly wage rate,1081.94
2014,"Total, Ontario regions",Paper Manufacturing,Average weekly wage rate,1037.10
2015,"Total, Ontario regions",Paper Manufacturing,Average weekly wage rate,1030.48
2001,"Total, Ontario regions",Paper Manufacturing,Median hourly wage rate,21.00
2002,"Total, Ontario regions",Paper Manufacturing,Median hourly wage rate,21.00
2003,"Total, Ontario regions",Paper Manufacturing,Median hourly wage rate,21.00
2004,"Total, Ontario regions",Paper Manufacturing,Median hourly wage rate,21.91
2005,"Total, Ontario regions",Paper Manufacturing,Median hourly wage rate,22.50
2006,"Total, Ontario regions",Paper Manufacturing,Median hourly wage rate,23.00
2007,"Total, Ontario regions",Paper Manufacturing,Median hourly wage rate,23.50
2008,"Total, Ontario regions",Paper Manufacturing,Median hourly wage rate,25.00
2009,"Total, Ontario regions",Paper Manufacturing,Median hourly wage rate,23.00
2010,"Total, Ontario regions",Paper Manufacturing,Median hourly wage rate,24.00
2011,"Total, Ontario regions",Paper Manufacturing,Median hourly wage rate,23.08
2012,"Total, Ontario regions",Paper Manufacturing,Median hourly wage rate,25.00
2013,"Total, Ontario regions",Paper Manufacturing,Median hourly wage rate,26.05
2014,"Total, Ontario regions",Paper Manufacturing,Median hourly wage rate,25.00
2015,"Total, Ontario regions",Paper Manufacturing,Median hourly wage rate,25.00
2001,"Total, Ontario regions",Paper Manufacturing,Median weekly wage rate,840.00
2002,"Total, Ontario regions",Paper Manufacturing,Median weekly wage rate,840.00
2003,"Total, Ontario regions",Paper Manufacturing,Median weekly wage rate,859.95
2004,"Total, Ontario regions",Paper Manufacturing,Median weekly wage rate,878.00
2005,"Total, Ontario regions",Paper Manufacturing,Median weekly wage rate,902.00
2006,"Total, Ontario regions",Paper Manufacturing,Median weekly wage rate,920.00
2007,"Total, Ontario regions",Paper Manufacturing,Median weekly wage rate,952.80
2008,"Total, Ontario regions",Paper Manufacturing,Median weekly wage rate,1000.00
2009,"Total, Ontario regions",Paper Manufacturing,Median weekly wage rate,904.00
2010,"Total, Ontario regions",Paper Manufacturing,Median weekly wage rate,960.00
2011,"Total, Ontario regions",Paper Manufacturing,Median weekly wage rate,922.95
2012,"Total, Ontario regions",Paper Manufacturing,Median weekly wage rate,1000.00
2013,"Total, Ontario regions",Paper Manufacturing,Median weekly wage rate,1042.00
2014,"Total, Ontario regions",Paper Manufacturing,Median weekly wage rate,1000.00
2015,"Total, Ontario regions",Paper Manufacturing,Median weekly wage rate,961.50
2001,"Total, Ontario regions",Printing and Related Support Activities,Total employees,36.3
2002,"Total, Ontario regions",Printing and Related Support Activities,Total employees,43.0
2003,"Total, Ontario regions",Printing and Related Support Activities,Total employees,43.9
2004,"Total, Ontario regions",Printing and Related Support Activities,Total employees,45.0
2005,"Total, Ontario regions",Printing and Related Support Activities,Total employees,40.4
2006,"Total, Ontario regions",Printing and Related Support Activities,Total employees,37.9
2007,"Total, Ontario regions",Printing and Related Support Activities,Total employees,35.0
2008,"Total, Ontario regions",Printing and Related Support Activities,Total employees,41.9
2009,"Total, Ontario regions",Printing and Related Support Activities,Total employees,37.0
2010,"Total, Ontario regions",Printing and Related Support Activities,Total employees,35.0
2011,"Total, Ontario regions",Printing and Related Support Activities,Total employees,29.6
2012,"Total, Ontario regions",Printing and Related Support Activities,Total employees,28.5
2013,"Total, Ontario regions",Printing and Related Support Activities,Total employees,25.7
2014,"Total, Ontario regions",Printing and Related Support Activities,Total employees,21.1
2015,"Total, Ontario regions",Printing and Related Support Activities,Total employees,22.9
2001,"Total, Ontario regions",Printing and Related Support Activities,Average hourly wage rate,18.63
2002,"Total, Ontario regions",Printing and Related Support Activities,Average hourly wage rate,18.61
2003,"Total, Ontario regions",Printing and Related Support Activities,Average hourly wage rate,19.32
2004,"Total, Ontario regions",Printing and Related Support Activities,Average hourly wage rate,18.41
2005,"Total, Ontario regions",Printing and Related Support Activities,Average hourly wage rate,20.88
2006,"Total, Ontario regions",Printing and Related Support Activities,Average hourly wage rate,19.62
2007,"Total, Ontario regions",Printing and Related Support Activities,Average hourly wage rate,20.23
2008,"Total, Ontario regions",Printing and Related Support Activities,Average hourly wage rate,20.69
2009,"Total, Ontario regions",Printing and Related Support Activities,Average hourly wage rate,22.29
2010,"Total, Ontario regions",Printing and Related Support Activities,Average hourly wage rate,21.43
2011,"Total, Ontario regions",Printing and Related Support Activities,Average hourly wage rate,22.34
2012,"Total, Ontario regions",Printing and Related Support Activities,Average hourly wage rate,22.26
2013,"Total, Ontario regions",Printing and Related Support Activities,Average hourly wage rate,21.15
2014,"Total, Ontario regions",Printing and Related Support Activities,Average hourly wage rate,24.43
2015,"Total, Ontario regions",Printing and Related Support Activities,Average hourly wage rate,25.81
2001,"Total, Ontario regions",Printing and Related Support Activities,Average weekly wage rate,722.80
2002,"Total, Ontario regions",Printing and Related Support Activities,Average weekly wage rate,728.00
2003,"Total, Ontario regions",Printing and Related Support Activities,Average weekly wage rate,745.17
2004,"Total, Ontario regions",Printing and Related Support Activities,Average weekly wage rate,711.86
2005,"Total, Ontario regions",Printing and Related Support Activities,Average weekly wage rate,798.59
2006,"Total, Ontario regions",Printing and Related Support Activities,Average weekly wage rate,772.98
2007,"Total, Ontario regions",Printing and Related Support Activities,Average weekly wage rate,778.11
2008,"Total, Ontario regions",Printing and Related Support Activities,Average weekly wage rate,798.37
2009,"Total, Ontario regions",Printing and Related Support Activities,Average weekly wage rate,863.87
2010,"Total, Ontario regions",Printing and Related Support Activities,Average weekly wage rate,823.14
2011,"Total, Ontario regions",Printing and Related Support Activities,Average weekly wage rate,859.61
2012,"Total, Ontario regions",Printing and Related Support Activities,Average weekly wage rate,867.41
2013,"Total, Ontario regions",Printing and Related Support Activities,Average weekly wage rate,826.52
2014,"Total, Ontario regions",Printing and Related Support Activities,Average weekly wage rate,960.07
2015,"Total, Ontario regions",Printing and Related Support Activities,Average weekly wage rate,1001.13
2001,"Total, Ontario regions",Printing and Related Support Activities,Median hourly wage rate,16.50
2002,"Total, Ontario regions",Printing and Related Support Activities,Median hourly wage rate,17.46
2003,"Total, Ontario regions",Printing and Related Support Activities,Median hourly wage rate,17.50
2004,"Total, Ontario regions",Printing and Related Support Activities,Median hourly wage rate,16.83
2005,"Total, Ontario regions",Printing and Related Support Activities,Median hourly wage rate,19.78
